  2214 vectors
   kx   ky   kz     ex   ey   ez        rk        phik
  -27   12   -5     27   13   -2    -1.838949   2.866239
  -27   12    5     -1   18   24    -2.389535  -0.130046
  -27   13   -2     10  -11  -26     0.619258   1.058330
  -27   13   -1     15    0  -26     0.662506   1.530114
  -27   13    0     27    5   12    -0.022157   2.843887
  -27   13    1      7  -29   -4     0.912646   0.689586
  -27   13    2    -20   20  -10     0.736652  -2.086379
  -26  -15   -2     23  -19   -4     0.239214   2.300163
  -26  -15   -1     27    7   11     0.000639   2.851066
  -26  -15    0     -4    7  -29    -1.206220  -0.464559
  -26  -15    1     -4   19   23    -0.172292  -0.444250
  -26  -15    2    -14   22   15    -1.517197  -1.404161
  -26  -14   -5     -2  -27  -13    -1.366695  -0.349001
  -26  -14    5     27   13    2     0.181260   2.876122
  -26  -12   -9      9   14   25    -0.382266   0.986115
  -26  -12    9     12   19   20     0.012128   1.288182
  -26  -11  -10     -1  -24  -18    -0.020004  -0.216496
  -26  -11   10    -24  -16   -8     0.121218  -2.538300
  -26  -10  -11     13   -1  -27     0.177987   1.344346
  -26  -10   11     -9   23  -17    -0.842267  -0.945874
  -26   -9  -12    -15  -24   10    -0.628409  -1.583375
  -26   -9   12     24  -18   -2     2.466245   2.436666
  -26   -5  -14     -7    3  -29     0.339956  -0.753125
  -26   -5   14     22   15   14     0.377784   2.292747
  -26   -2  -15     -6  -17  -24     0.564365  -0.668747
  -26   -2   15      8   28    7    -0.117810   0.915744
  -26   -1  -15    -20  -21    8    -0.824893  -2.152342
  -26   -1   15    -16  -11  -23     1.172234  -1.690560
  -26    0  -15     18  -24    1     1.364594   1.853685
  -26    0   15    -24   -8   16     0.624175  -2.518544
  -26    1  -15    -27   -2   13    -0.521673  -2.836403
  -26    1   15     23  -19   -4    -0.070202   2.301069
  -26    2  -15    -28    8    7     1.041149  -2.897949
  -26    2   15     -2   13  -27    -1.756864  -0.297292
  -26    5  -14     -8   24  -16    -0.549493  -0.842438
  -26    5   14     -4   10  -28     0.359966  -0.459717
  -26    9  -12      0  -30   -2    -1.789127  -0.084222
  -26    9   12    -25   -4   16     0.028433  -2.606733
  -26   10  -11     -3   29   -7    -1.016708  -0.360661
  -26   10   11     21   10   19     0.682755   2.224891
  -26   11  -10    -15   26    2    -1.035351  -1.460648
  -26   11   10    -17  -13   21     1.084164  -1.802076
  -26   12   -9     10  -24  -15    -1.052644   1.028881
  -26   12    9     -5  -16  -25     0.004969  -0.594841
  -26   14   -5     14    5  -26    -0.186434   1.424811
  -26   14    5    -13  -27   -1     0.282789  -1.385491
  -26   15   -2     22   14  -15    -0.045417   2.282334
  -26   15   -1     28   -8   -7     1.302233   2.899291
  -26   15    0     16  -23   11    -0.211985   1.628426
  -26   15    1     -7   -4  -29     0.691502  -0.765968
  -26   15    2      7  -27  -11     0.032983   0.705459
  -25  -16   -5     20   21   -8     1.140822   2.151742
  -25  -16   -4     12  -27    5    -0.377056   1.223312
  -25  -16    4     -8  -20  -21    -1.418158  -0.899121
  -25  -16    5     24    1  -18     0.245528   2.502066
  -25  -15   -7     27   12   -5     0.486587   2.858461
  -25  -15    7     14   22   15     0.634965   1.446075
  -25  -14   -9      2  -26  -15    -0.089056   0.272087
  -25  -14    9     -6  -28    9     0.374435  -0.678009
  -25   -9  -14    -11   27   -7    -0.257322  -1.130245
  -25   -9   14    -24    1   18     0.063147  -2.490832
  -25   -7  -15     18   -2   24    -1.932909   1.892377
  -25   -7   15      1  -27  -13    -0.649691   0.112266
  -25   -5  -16     16  -17   19    -1.460652   1.643429
  -25   -5   16      7   29   -3    -0.482451   0.814911
  -25   -4  -16     15   22   14    -1.217418   1.573164
  -25   -4   16    -30   -1    1     0.146808  -3.122509
  -25    4  -16     27    0   13    -0.159132   2.826901
  -25    4   16    -16  -25   -4     0.151117  -1.726948
  -25    5  -16     -5   26   14     0.690572  -0.541692
  -25    5   16    -11   23  -16     1.390232  -1.143597
  -25    7  -15     -7   29    3     2.257461  -0.691350
  -25    7   15      4    7   29     0.443441   0.471001
  -25    9  -14    -16    8  -24    -0.102546  -1.657239
  -25    9   14     10    4  -28    -0.083950   1.068494
  -25   14   -9     23  -18   -7     0.365359   2.311889
  -25   14    9    -16   24   -8    -0.020767  -1.620525
  -25   15   -7      8   29    0     0.102445   0.921090
  -25   15    7    -27   -7  -11     1.443063  -2.851640
  -25   16   -5     -7   25   15     0.305235  -0.711665
  -25   16   -4     -9   26  -12     0.695058  -0.935929
  -25   16    4     -5  -29    6    -0.540195  -0.614741
  -25   16    5     -5  -27  -12    -0.120359  -0.612012
  -24  -18   -2    -24  -17    6     1.140024  -2.541711
  -24  -18   -1    -18   -2   24     2.120806  -1.912717
  -24  -18    0      2   26  -15     1.034967   0.338092
  -24  -18    1      9   23  -17    -1.572195   0.993330
  -24  -18    2    -10   28    4    -0.568898  -1.017434
  -24  -17   -6     -4  -28   10     0.632994  -0.517829
  -24  -17    6      8  -29    0     0.022759   0.828406
  -24  -16   -8      8   24  -16     0.153625   0.907998
  -24  -16    8    -11   27   -7    -0.698140  -1.130621
  -24  -15  -10    -30   -1   -2    -0.575963  -3.130376
  -24  -15   10     15   22  -14     1.145263   1.570179
  -24  -10  -15    -27   13    0    -0.017132  -2.781709
  -24  -10   15    -11   26  -10    -0.794894  -1.136147
  -24   -8  -16     27   13    1    -2.044739   2.874763
  -24   -8   16      5   29   -6     1.852325   0.613541
  -24   -6  -17    -18  -24   -1     0.185314  -1.952544
  -24   -6   17     -1  -30    1     0.718039  -0.246216
  -24   -2  -18    -24   10  -15     0.003392  -2.471680
  -24   -2   18     30    1    0     0.962733   3.124942
  -24   -1  -18    -20    4  -22     0.306927  -2.116328
  -24   -1   18      4   28  -10     0.256057   0.518862
  -24    0  -18     28    4   10     1.223531   2.941081
  -24    0   18      0   27   13     0.302392   0.058180
  -24    1  -18     -1  -18   24     0.097132  -0.208417
  -24    1   18    -13   -2   27     0.995118  -1.359390
  -24    2  -18      0   -1   30     0.801561  -0.004882
  -24    2   18     -1    1   30     1.055147  -0.162784
  -24    6  -17     20   21   -8     1.437230   2.152841
  -24    6   17      6   28   -9     1.350047   0.677272
  -24    8  -16    -23    9   17    -0.370601  -2.345124
  -24    8   16      1   28  -11    -0.296761   0.230762
  -24   10  -15     24  -16    8     0.981804   2.459646
  -24   10   15    -23  -11   16     1.304313  -2.390083
  -24   15  -10    -15  -26   -1     0.889319  -1.600875
  -24   15   10      2  -24  -18     0.413577   0.276324
  -24   16   -8    -10    4  -28     2.213437  -1.064388
  -24   16    8      7  -15  -25     0.602481   0.727503
  -24   17   -6    -26   15   -1     1.114995  -2.660885
  -24   17    6    -26   -1  -15     0.359517  -2.720979
  -24   18   -2     27    0  -13     1.322911   2.825595
  -24   18   -1      8    7  -28    -1.332819   0.883670
  -24   18    0    -19   10   21    -1.025118  -1.998022
  -24   18    1     24  -18    0    -0.508565   2.442372
  -24   18    2     -9   26   12     1.667644  -0.932452
  -23  -19   -4     -4  -22  -20     0.702337  -0.502971
  -23  -19   -3    -30   -1    0     1.388003  -3.125024
  -23  -19    3    -15   -7  -25     1.420507  -1.550871
  -23  -19    4    -11  -16   23     1.002945  -1.191909
  -23  -18   -7     21   19   10     0.938514   2.239824
  -23  -18    7     27   -5   12    -1.513180   2.809823
  -23  -17   -9     -2   30    1    -0.150182  -0.256490
  -23  -17    9    -20   12   19     0.591432  -2.095633
  -23  -16  -11    -18   -7  -23    -1.206926  -1.919946
  -23  -16   11     -1   30    2    -2.140991  -0.087186
  -23  -15  -12    -20   22   -4     0.046690  -2.076211
  -23  -15   12     24   16    8     0.458133   2.539364
  -23  -12  -15     18    0   24    -1.856190   1.903996
  -23  -12   15    -22   15   14     1.387015  -2.260269
  -23  -11  -16     21    4   21    -0.028355   2.212342
  -23  -11   16     12   -5  -27     0.102241   1.261648
  -23   -9  -17    -21   -8  -20     0.375804  -2.218423
  -23   -9   17     24    6   17     0.577780   2.515095
  -23   -7  -18    -15    7   25     1.323109  -1.515371
  -23   -7   18     28   -6    9     2.818495   2.914210
  -23   -4  -19    -12   27   -5    -0.063809  -1.225773
  -23   -4   19     16   19   17    -0.269954   1.705922
  -23   -3  -19      6  -29   -5     1.174541   0.619926
  -23   -3   19      4   10   28     1.097686   0.474202
  -23    3  -19      8   16  -24    -1.412869   0.889426
  -23    3   19     -5    6   29    -0.033137  -0.569478
  -23    4  -19     -1   30   -1    -0.678488  -0.093845
  -23    4   19     -7   15   25     1.761088  -0.726905
  -23    7  -18      8  -21  -20    -0.253643   0.845446
  -23    7   18     29    7    4    -1.313566   3.072473
  -23    9  -17    -12  -27    5    -0.947678  -1.306811
  -23    9   17    -13   17  -21     0.850002  -1.333844
  -23   11  -16     -3    7  -29    -0.081269  -0.378266
  -23   11   16      9   23  -17     1.862158   0.994200
  -23   12  -15     21  -10  -19     0.209475   2.193153
  -23   12   15    -20   21    8     0.901853  -2.077711
  -23   15  -12    -25    9   14    -0.473560  -2.584095
  -23   15   12     15  -26   -2    -0.744227   1.458721
  -23   16  -11    -27   -5   12     0.829960  -2.843250
  -23   16   11    -28   11    1     0.565439  -2.879672
  -23   17   -9      2   26   15     0.060378   0.340868
  -23   17    9      4   25   16     0.232203   0.514608
  -23   18   -7     16   -5  -25     0.119628   1.658552
  -23   18    7      4   20   22    -0.644828   0.492412
  -23   19   -4    -24   18   -1    -1.277154  -2.446177
  -23   19   -3    -15   26    1     1.541494  -1.461598
  -23   19    3    -24   -6  -17     0.268885  -2.516395
  -23   19    4     -4   10   28     0.173405  -0.454346
  -22  -20   -4    -24   16    8    -1.166992  -2.456925
  -22  -20    4     20    8  -21    -1.552193   2.122957
  -22  -15  -14     18   18  -16     0.194507   1.932986
  -22  -15   14    -30    2   -1    -0.899190  -3.087796
  -22  -14  -15     -1    0   30     1.369138  -0.168430
  -22  -14   15     -4   19   23     1.429506  -0.445253
  -22   -4  -20    -16    4  -25    -0.737515  -1.666366
  -22   -4   20     21  -19   10    -1.792412   2.176921
  -22    4  -20     -5  -16   25    -0.622914  -0.590640
  -22    4   20     -1   30   -1    -0.941199  -0.093851
  -22   14  -15      2  -30    1    -0.119678   0.262695
  -22   14   15     17  -23   -9     0.406515   1.737479
  -22   15  -14    -19   -3   23    -0.535722  -2.016571
  -22   15   14      5  -27   12    -0.672809   0.538122
  -22   20   -4     -9  -25   14    -0.626786  -1.001553
  -22   20    4    -28    0   11    -0.098646  -2.928287
  -21  -21   -4    -12  -26   -9     1.826555  -1.303488
  -21  -21    4     10    4   28    -0.205634   1.071329
  -21  -20   -8     27   -2  -13     0.468282   2.815005
  -21  -20    8     -9   28    6    -0.672112  -0.927959
  -21  -19  -10      1   11  -28     0.096619   0.192524
  -21  -19   10    -16   25   -4    -0.794584  -1.613633
  -21  -17  -13    -20   -4  -22    -0.738722  -2.121810
  -21  -17   13      2   15  -26     0.574780   0.323182
  -21  -13  -17     28   -4   10     0.046925   2.919672
  -21  -13   17    -29   -8    0    -1.022043  -3.076906
  -21  -10  -19    -28   -9    6    -0.479815  -2.961198
  -21  -10   19     26   -5  -14    -0.725048   2.695089
  -21   -8  -20     19  -21  -10     3.030793   1.970984
  -21   -8   20     16  -17   19    -1.349212   1.644730
  -21   -4  -21     -7    4   29     0.254546  -0.745798
  -21   -4   21     -7    8  -28    -0.210588  -0.740838
  -21    4  -21     15  -10  -24     1.043085   1.509218
  -21    4   21     16   -5   25     0.853929   1.661006
  -21    8  -20     25  -14   -9     0.707070   2.577740
  -21    8   20     15   26   -2     0.570933   1.593059
  -21   10  -19     -8   28    7     1.636676  -0.834063
  -21   10   19    -28   -6    9     0.299909  -2.943970
  -21   13  -17     19  -16   17    -0.308050   1.991261
  -21   13   17     18   -7  -23    -0.648015   1.883950
  -21   17  -13    -29   -4    7    -0.163664  -3.045130
  -21   17   13      8   -1   29     0.293306   0.869654
  -21   19  -10     -2   24   18     0.626524  -0.276614
  -21   19   10    -17    9   23     0.293750  -1.778206
  -21   20   -8    -25    7   15     0.794894  -2.588535
  -21   20    8     26    0   15    -1.120028   2.715697
  -21   21   -4     -2    0   30     1.317942  -0.305966
  -21   21    4     29   -8   -1     0.196584   2.981994
  -20  -22   -4      4   23  -19    -0.328084   0.506909
  -20  -22    4     29    3   -7     0.176490   3.041480
  -20  -21   -8    -29   -6   -5     1.126353  -3.061408
  -20  -21    8     15   10  -24    -2.096953   1.553602
  -20  -20  -10    -25   -9  -14    -1.045751  -2.625925
  -20  -20   10     20    8   21    -0.730347   2.127080
  -20  -19  -12    -23    3  -19    -0.463110  -2.365752
  -20  -19   12    -24   16    8     0.363486  -2.455305
  -20  -12  -19    -11  -23  -16     0.085631  -1.198348
  -20  -12   19     28  -10   -4    -0.886509   2.887174
  -20  -10  -20     19   10  -21     0.671337   2.027139
  -20  -10   20    -16   19  -17     0.186174  -1.633393
  -20   -8  -21      4  -22   20    -0.766403   0.429915
  -20   -8   21      0  -30   -1    -0.342432  -0.081221
  -20   -4  -22     19   -3   23     1.503224   2.013694
  -20   -4   22    -18   16  -18     0.999650  -1.881504
  -20    4  -22    -25    5   16     0.968748  -2.594720
  -20    4   22     -9   17   23     0.450719  -0.948912
  -20    8  -21     -1   27   13    -0.558252  -0.111547
  -20    8   21      9  -28   -6    -0.183014   0.926630
  -20   10  -20    -15   -1  -26    -0.009900  -1.538562
  -20   10   20    -20    4  -22     1.693046  -2.114332
  -20   12  -19      0  -30    0    -0.038115  -0.077182
  -20   12   19      7  -15  -25     0.790601   0.728748
  -20   19  -12     10  -28   -4    -0.877211   1.016205
  -20   19   12     -2    0  -30     0.078808  -0.306735
  -20   20  -10      0   30    2     1.141631   0.085054
  -20   20   10      7   18   23     2.152980   0.786218
  -20   21   -8     20   19  -12    -0.350654   2.141729
  -20   21    8    -20  -21    8     0.797678  -2.153196
  -20   22   -4    -23  -17    9    -1.330921  -2.414446
  -20   22    4    -29    3   -7     0.358952  -3.022055
  -19  -23   -4      0  -29    8     1.621941  -0.067587
  -19  -23   -3    -26  -15   -2    -1.367234  -2.775252
  -19  -23    3    -23   -7  -18     1.107439  -2.382271
  -19  -23    4    -17  -16  -19    -0.117182  -1.810157
  -19  -21  -10     23   11  -16     0.578906   2.391281
  -19  -21   10     27   13   -1    -2.176265   2.867229
  -19  -20  -12      2   27   13    -0.508939   0.348310
  -19  -20   12    -27  -12    5     0.498151  -2.859781
  -19  -17  -16     24  -16   -8    -0.881871   2.457142
  -19  -17   16     -7  -28    8     0.693893  -0.807479
  -19  -16  -17    -23   12  -15    -1.511954  -2.337599
  -19  -16   17     11  -26   10     1.280677   1.137402
  -19  -12  -20    -28   -9   -6    -0.488379  -2.965396
  -19  -12   20     -1   26  -15     1.133866  -0.120500
  -19  -10  -21    -19  -23    3    -0.242464  -2.065339
  -19  -10   21    -20   12  -19    -1.105227  -2.099612
  -19   -4  -23    -19  -21  -10     0.544737  -2.058209
  -19   -4   23     28   -9   -6     0.542427   2.894343
  -19   -3  -23      3   -7  -29     0.178598   0.376774
  -19   -3   23     -9  -26  -12    -1.451749  -1.008648
  -19    3  -23    -18   24    0    -0.129394  -1.850406
  -19    3   23     -4   25  -16    -2.697484  -0.418379
  -19    4  -23    -19   21  -10     0.498743  -1.974019
  -19    4   23      7   25   15     0.933917   0.799092
  -19   10  -21    -10  -15  -24     0.555300  -1.082964
  -19   10   21    -25    7   15    -1.513164  -2.588255
  -19   12  -20     29   -7    4    -0.438282   2.998085
  -19   12   20    -16   18   18     0.669797  -1.635195
  -19   16  -17      8  -29    1    -0.724064   0.829809
  -19   16   17    -17    9   23    -1.327897  -1.778919
  -19   17  -16    -23   19   -4     1.198100  -2.308120
  -19   17   16    -25    5   16    -2.295232  -2.595507
  -19   20  -12      6   29   -5     2.008163   0.683612
  -19   20   12     26   -1  -15    -0.748454   2.704954
  -19   21  -10    -15   14   22    -0.135915  -1.497985
  -19   21   10     -2  -18   24    -1.316726  -0.328004
  -19   23   -4    -11  -10   26    -0.759796  -1.185060
  -19   23   -3     15   26    0    -1.767962   1.598201
  -19   23    3    -26   -2  -15     0.942387  -2.725325
  -19   23    4     20   21   -8     1.081820   2.151215
  -18  -24   -2     10  -28   -4    -0.280591   1.018224
  -18  -24   -1     15  -26    0     0.558430   1.466043
  -18  -24    0     13  -27    0     1.912074   1.318863
  -18  -24    1     18  -24    0     1.913301   1.851340
  -18  -24    2    -11  -16  -23     1.228835  -1.194337
  -18  -23   -7    -26    5  -14    -1.103433  -2.696901
  -18  -23    7     26  -15   -1     0.716995   2.656261
  -18  -18  -16     -7   -8   28    -0.444745  -0.767815
  -18  -18   16      1   13   27     0.670452   0.200598
  -18  -17  -17      4  -22   20     0.344457   0.430888
  -18  -17   17    -20   21    8    -0.429037  -2.078514
  -18  -16  -18     14    9   25    -1.657567   1.435827
  -18  -16   18    -14   -5   26    -0.071888  -1.426235
  -18   -7  -23      9   23   17    -0.070978   0.996428
  -18   -7   23     15   26    0     0.507878   1.599591
  -18   -2  -24      1  -30   -1    -0.080307   0.089881
  -18   -2   24      3   23   19    -0.106362   0.395088
  -18   -1  -24     30    1   -2     0.374736   3.119667
  -18   -1   24    -24   10  -15     0.028253  -2.470780
  -18    0  -24    -21   13   17     1.426187  -2.187756
  -18    0   24    -27    7   11    -1.330289  -2.802576
  -18    1  -24     -2    0  -30    -1.099710  -0.308287
  -18    1   24     22   -4   20     1.957349   2.275050
  -18    2  -24     20  -10  -20    -0.287945   2.100208
  -18    2   24     17  -23    9     0.823113   1.740710
  -18    7  -23    -29    1   -8    -1.112156  -3.026999
  -18    7   23    -27  -13    1     0.886637  -2.868316
  -18   16  -18    -23    7   18     1.016150  -2.350350
  -18   16   18    -26  -12    9     1.860821  -2.750505
  -18   17  -17     -1   28  -11     0.688436  -0.108486
  -18   17   17     30   -1    1     0.034818   3.100908
  -18   18  -16    -12  -19   20     0.407787  -1.283499
  -18   18   16     15  -26    1    -0.011215   1.468749
  -18   23   -7      7   28   -8     0.970067   0.808564
  -18   23    7     25   16   -5    -1.860425   2.639359
  -18   24   -2    -25   -4  -16    -0.649879  -2.610228
  -18   24   -1    -13  -17  -21     0.137926  -1.370665
  -18   24    0    -11  -27   -7    -0.901584  -1.210505
  -18   24    1    -14  -22   15    -1.480405  -1.443182
  -18   24    2     -9  -23  -17     0.044563  -0.998857
  -17  -24   -6    -28    8   -7    -1.584883  -2.902853
  -17  -24    6     18   -1   24     0.142495   1.898096
  -17  -23   -9     11   28    0     1.049481   1.217321
  -17  -23    9     -3   -7   29     0.861510  -0.382369
  -17  -21  -13      0   27  -13     0.810331   0.054159
  -17  -21   13      1    1  -30     0.491824   0.175444
  -17  -19  -16     10   21  -19    -0.155370   1.095810
  -17  -19   16      8    7   28    -0.894476   0.885455
  -17  -18  -17    -15  -24  -10    -0.637139  -1.584903
  -17  -18   17     -8   28    7     0.340281  -0.832392
  -17  -17  -18      0    1   30     1.068897   0.006575
  -17  -17   18     12   -5   27     2.006172   1.263388
  -17  -16  -19     21   -8  -20     0.228478   2.198055
  -17  -16   19     -7  -28   -8    -0.546824  -0.811083
  -17  -13  -21     -1   18   24     0.279132  -0.130231
  -17  -13   21     15   22   14     2.146998   1.573723
  -17   -9  -23    -25    9   14     0.585884  -2.582981
  -17   -9   23    -27  -12    5    -1.127849  -2.858866
  -17   -6  -24     11    7  -27    -0.568290   1.180021
  -17   -6   24     29    5   -6     1.848251   3.053506
  -17    6  -24    -25  -16   -4    -0.899164  -2.645388
  -17    6   24     15   -2  -26    -0.662264   1.521002
  -17    9  -23      0    0  -30    -1.091492  -0.000842
  -17    9   23     -2    1   30     1.214485  -0.298191
  -17   13  -21    -23  -18   -7     1.562537  -2.422814
  -17   13   21    -15  -24  -10     1.317360  -1.586381
  -17   16  -19    -16   -8   24     1.473361  -1.681929
  -17   16   19    -18   -1  -24    -0.959313  -1.909656
  -17   17  -18      4  -29    7    -0.682503   0.407322
  -17   17   18     18  -17  -17     1.267720   1.872879
  -17   18  -17     27   13    2     0.999706   2.876856
  -17   18   17    -30    0    1     1.245496  -3.110351
  -17   19  -16    -16   23  -11     1.608651  -1.626973
  -17   19   16    -10  -11  -26     0.053258  -1.078377
  -17   21  -13     10  -21   19     0.140830   1.036738
  -17   21   13     28  -11    1     0.661751   2.884201
  -17   23   -9    -10   28   -4    -0.433233  -1.019198
  -17   23    9      1  -30   -1     0.593384   0.088832
  -17   24   -6    -21  -20    8    -0.373521  -2.243626
  -17   24    6    -11  -26  -10     0.609105  -1.204410
  -16  -25   -5    -24   16    8     0.809271  -2.456079
  -16  -25   -4    -11    7   27     0.809299  -1.157159
  -16  -25    4     24   -6  -17     1.164909   2.479054
  -16  -25    5     21   21   -4     0.767901   2.248295
  -16  -24   -8     -7  -18  -23     0.057857  -0.786436
  -16  -24    8     21  -17   13     2.263899   2.183227
  -16  -23  -11    -11    7  -27     0.758613  -1.158905
  -16  -23   11     -1   24   18     0.065691  -0.124096
  -16  -19  -17    -10  -21  -19    -0.645028  -1.100199
  -16  -19   17    -14   -9  -25    -0.656254  -1.434631
